order,FPR,TPR,threshold,AUC
0,0.0,0.0,inf,0.9348571428571428
1,0.0,0.02857142857142857,0.9992415904998779,0.9348571428571428
2,0.0,0.11428571428571428,0.9980781078338623,0.9348571428571428
3,0.013333333333333334,0.11428571428571428,0.997785210609436,0.9348571428571428
4,0.013333333333333334,0.2857142857142857,0.9919258952140808,0.9348571428571428
5,0.02666666666666667,0.2857142857142857,0.9890714883804321,0.9348571428571428
6,0.02666666666666667,0.8285714285714286,0.29806557297706604,0.9348571428571428
7,0.05333333333333334,0.8285714285714286,0.0883474349975586,0.9348571428571428
8,0.05333333333333334,0.8857142857142857,0.0438452884554863,0.9348571428571428
9,0.06666666666666667,0.8857142857142857,0.03978472203016281,0.9348571428571428
10,0.06666666666666667,0.9142857142857143,0.03637819364666939,0.9348571428571428
11,0.17333333333333334,0.9142857142857143,0.009984659031033516,0.9348571428571428
12,0.17333333333333334,0.9428571428571428,0.009805520065128803,0.9348571428571428
13,0.44,0.9428571428571428,0.0038783338386565447,0.9348571428571428
14,0.44,0.9714285714285714,0.003286386141553521,0.9348571428571428
15,0.9066666666666666,0.9714285714285714,0.0005315945600159466,0.9348571428571428
16,0.9066666666666666,1.0,0.0005270424298942089,0.9348571428571428
17,1.0,1.0,0.00014875264605507255,0.9348571428571428
