date,keyword,interest
2016-08-28,artes,79
2016-09-04,artes,79
2016-09-11,artes,92
2016-09-18,artes,90
2016-09-25,artes,82
2016-10-02,artes,94
2016-10-09,artes,75
2016-10-16,artes,84
2016-10-23,artes,82
2016-10-30,artes,83
2016-11-06,artes,86
2016-11-13,artes,79
2016-11-20,artes,80
2016-11-27,artes,81
2016-12-04,artes,74
2016-12-11,artes,66
2016-12-18,artes,48
2016-12-25,artes,46
2017-01-01,artes,56
2017-01-08,artes,67
2017-01-15,artes,68
2017-01-22,artes,77
2017-01-29,artes,78
2017-02-05,artes,88
2017-02-12,artes,90
2017-02-19,artes,83
2017-02-26,artes,82
2017-03-05,artes,91
2017-03-12,artes,92
2017-03-19,artes,91
2017-03-26,artes,93
2017-04-02,artes,93
2017-04-09,artes,77
2017-04-16,artes,86
2017-04-23,artes,86
2017-04-30,artes,87
2017-05-07,artes,82
2017-05-14,artes,86
2017-05-21,artes,84
2017-05-28,artes,82
2017-06-04,artes,83
2017-06-11,artes,76
2017-06-18,artes,79
2017-06-25,artes,74
2017-07-02,artes,75
2017-07-09,artes,70
2017-07-16,artes,70
2017-07-23,artes,68
2017-07-30,artes,79
2017-08-06,artes,78
2017-08-13,artes,79
2017-08-20,artes,81
2017-08-27,artes,81
2017-09-03,artes,75
2017-09-10,artes,86
2017-09-17,artes,85
2017-09-24,artes,83
2017-10-01,artes,83
2017-10-08,artes,79
2017-10-15,artes,79
2017-10-22,artes,85
2017-10-29,artes,78
2017-11-05,artes,80
2017-11-12,artes,81
2017-11-19,artes,76
2017-11-26,artes,76
2017-12-03,artes,73
2017-12-10,artes,67
2017-12-17,artes,56
2017-12-24,artes,46
2017-12-31,artes,57
2018-01-07,artes,63
2018-01-14,artes,68
2018-01-21,artes,71
2018-01-28,artes,71
2018-02-04,artes,78
2018-02-11,artes,78
2018-02-18,artes,93
2018-02-25,artes,95
2018-03-04,artes,91
2018-03-11,artes,88
2018-03-18,artes,86
2018-03-25,artes,79
2018-04-01,artes,85
2018-04-08,artes,86
2018-04-15,artes,85
2018-04-22,artes,88
2018-04-29,artes,89
2018-05-06,artes,81
2018-05-13,artes,83
2018-05-20,artes,83
2018-05-27,artes,69
2018-06-03,artes,83
2018-06-10,artes,76
2018-06-17,artes,71
2018-06-24,artes,67
2018-07-01,artes,67
2018-07-08,artes,68
2018-07-15,artes,68
2018-07-22,artes,69
2018-07-29,artes,81
2018-08-05,artes,78
2018-08-12,artes,80
2018-08-19,artes,76
2018-08-26,artes,78
2018-09-02,artes,78
2018-09-09,artes,77
2018-09-16,artes,76
2018-09-23,artes,76
2018-09-30,artes,72
2018-10-07,artes,63
2018-10-14,artes,73
2018-10-21,artes,75
2018-10-28,artes,73
2018-11-04,artes,82
2018-11-11,artes,75
2018-11-18,artes,76
2018-11-25,artes,77
2018-12-02,artes,80
2018-12-09,artes,68
2018-12-16,artes,61
2018-12-23,artes,49
2018-12-30,artes,56
2015-12-27,esporte lazer,1
2016-01-03,esporte lazer,1
2016-01-10,esporte lazer,1
2016-01-17,esporte lazer,1
2016-01-24,esporte lazer,1
2016-01-31,esporte lazer,1
2016-02-07,esporte lazer,1
2016-02-14,esporte lazer,1
2016-02-21,esporte lazer,2
2016-02-28,esporte lazer,2
2016-03-06,esporte lazer,2
2016-03-13,esporte lazer,1
2016-03-20,esporte lazer,1
2016-03-27,esporte lazer,2
2016-04-03,esporte lazer,1
2016-04-10,esporte lazer,2
2016-04-17,esporte lazer,1
2016-04-24,esporte lazer,2
2016-05-01,esporte lazer,1
2016-05-08,esporte lazer,1
2016-05-15,esporte lazer,1
2016-05-22,esporte lazer,1
2016-05-29,esporte lazer,1
2016-06-05,esporte lazer,1
2016-06-12,esporte lazer,1
2016-06-19,esporte lazer,1
2016-06-26,esporte lazer,1
2016-07-03,esporte lazer,1
2016-07-10,esporte lazer,1
2016-07-17,esporte lazer,1
2016-07-24,esporte lazer,1
2016-07-31,esporte lazer,1
2016-08-07,esporte lazer,1
2016-08-14,esporte lazer,1
2016-08-21,esporte lazer,1
2016-08-28,esporte lazer,1
2016-09-04,esporte lazer,1
2016-09-11,esporte lazer,1
2016-09-18,esporte lazer,1
2016-09-25,esporte lazer,1
2016-10-02,esporte lazer,1
2016-10-09,esporte lazer,1
2016-10-16,esporte lazer,1
2016-10-23,esporte lazer,1
2016-10-30,esporte lazer,1
2016-11-06,esporte lazer,1
2016-11-13,esporte lazer,1
2016-11-20,esporte lazer,1
2016-11-27,esporte lazer,1
2016-12-04,esporte lazer,1
2016-12-11,esporte lazer,1
2016-12-18,esporte lazer,1
2016-12-25,esporte lazer,0
2017-01-01,esporte lazer,1
2017-01-08,esporte lazer,1
2017-01-15,esporte lazer,1
2017-01-22,esporte lazer,1
2017-01-29,esporte lazer,1
2017-02-05,esporte lazer,1
2017-02-12,esporte lazer,1
2017-02-19,esporte lazer,1
2017-02-26,esporte lazer,1
2017-03-05,esporte lazer,2
2017-03-12,esporte lazer,2
2017-03-19,esporte lazer,2
2017-03-26,esporte lazer,2
2017-04-02,esporte lazer,2
2017-04-09,esporte lazer,1
2017-04-16,esporte lazer,1
2017-04-23,esporte lazer,2
2017-04-30,esporte lazer,1
2017-05-07,esporte lazer,1
2017-05-14,esporte lazer,2
2017-05-21,esporte lazer,1
2017-05-28,esporte lazer,1
2017-06-04,esporte lazer,1
2017-06-11,esporte lazer,1
2017-06-18,esporte lazer,1
2017-06-25,esporte lazer,1
2017-07-02,esporte lazer,1
2017-07-09,esporte lazer,1
2017-07-16,esporte lazer,1
2017-07-23,esporte lazer,1
2017-07-30,esporte lazer,1
2017-08-06,esporte lazer,1
2017-08-13,esporte lazer,1
2017-08-20,esporte lazer,1
2017-08-27,esporte lazer,1
2017-09-03,esporte lazer,1
2017-09-10,esporte lazer,1
2017-09-17,esporte lazer,1
2017-09-24,esporte lazer,1
2017-10-01,esporte lazer,1
2017-10-08,esporte lazer,1
2017-10-15,esporte lazer,1
2017-10-22,esporte lazer,1
2017-10-29,esporte lazer,1
2017-11-05,esporte lazer,1
2017-11-12,esporte lazer,1
2017-11-19,esporte lazer,1
2017-11-26,esporte lazer,1
2017-12-03,esporte lazer,1
2017-12-10,esporte lazer,1
2017-12-17,esporte lazer,1
2017-12-24,esporte lazer,1
2017-12-31,esporte lazer,1
2018-01-07,esporte lazer,1
2018-01-14,esporte lazer,1
2018-01-21,esporte lazer,1
2018-01-28,esporte lazer,1
2018-02-04,esporte lazer,1
2018-02-11,esporte lazer,1
2018-02-18,esporte lazer,1
2018-02-25,esporte lazer,1
2018-03-04,esporte lazer,1
2018-03-11,esporte lazer,1
2018-03-18,esporte lazer,1
2018-03-25,esporte lazer,1
2018-04-01,esporte lazer,1
2018-04-08,esporte lazer,1
2018-04-15,esporte lazer,1
2018-04-22,esporte lazer,1
2018-04-29,esporte lazer,1
2018-05-06,esporte lazer,1
2018-05-13,esporte lazer,1
2018-05-20,esporte lazer,1
2018-05-27,esporte lazer,1
2018-06-03,esporte lazer,1
2018-06-10,esporte lazer,1
2018-06-17,esporte lazer,1
2018-06-24,esporte lazer,1
2018-07-01,esporte lazer,1
2018-07-08,esporte lazer,1
2018-07-15,esporte lazer,1
2018-07-22,esporte lazer,1
2018-07-29,esporte lazer,1
2018-08-05,esporte lazer,1
2018-08-12,esporte lazer,1
2018-08-19,esporte lazer,1
2018-08-26,esporte lazer,1
2018-09-02,esporte lazer,1
2018-09-09,esporte lazer,1
2018-09-16,esporte lazer,1
2018-09-23,esporte lazer,1
2018-09-30,esporte lazer,1
2018-10-07,esporte lazer,1
2018-10-14,esporte lazer,1
2018-10-21,esporte lazer,1
2018-10-28,esporte lazer,1
2018-11-04,esporte lazer,1
2018-11-11,esporte lazer,1
2018-11-18,esporte lazer,1
2018-11-25,esporte lazer,1
2018-12-02,esporte lazer,1
2018-12-09,esporte lazer,1
2018-12-16,esporte lazer,1
2018-12-23,esporte lazer,0
2018-12-30,esporte lazer,0
2015-12-27,bebes,51
2016-01-03,bebes,51
2016-01-10,bebes,54
2016-01-17,bebes,56
2016-01-24,bebes,51
2016-01-31,bebes,56
2016-02-07,bebes,54
2016-02-14,bebes,51
2016-02-21,bebes,52
2016-02-28,bebes,49
2016-03-06,bebes,44
2016-03-13,bebes,47
2016-03-20,bebes,46
2016-03-27,bebes,43
2016-04-03,bebes,45
2016-04-10,bebes,44
2016-04-17,bebes,45
2016-04-24,bebes,45
2016-05-01,bebes,43
2016-05-08,bebes,42
2016-05-15,bebes,42
2016-05-22,bebes,43
2016-05-29,bebes,40
2016-06-05,bebes,39
2016-06-12,bebes,39
2016-06-19,bebes,40
2016-06-26,bebes,42
2016-07-03,bebes,45
2016-07-10,bebes,44
2016-07-17,bebes,43
2016-07-24,bebes,45
2016-07-31,bebes,39
2016-08-07,bebes,42
2016-08-14,bebes,40
2016-08-21,bebes,41
2016-08-28,bebes,41
2016-09-04,bebes,42
2016-09-11,bebes,39
2016-09-18,bebes,38
2016-09-25,bebes,41
2016-10-02,bebes,41
2016-10-09,bebes,44
2016-10-16,bebes,39
2016-10-23,bebes,40
2016-10-30,bebes,43
2016-11-06,bebes,38
2016-11-13,bebes,40
2016-11-20,bebes,37
2016-11-27,bebes,36
2016-12-04,bebes,38
2016-12-11,bebes,38
2016-12-18,bebes,35
2016-12-25,bebes,38
2017-01-01,bebes,39
2017-01-08,bebes,43
2017-01-15,bebes,42
2017-01-22,bebes,41
2017-01-29,bebes,40
2017-02-05,bebes,38
2017-02-12,bebes,37
2017-02-19,bebes,37
2017-02-26,bebes,40
2017-03-05,bebes,40
2017-03-12,bebes,37
2017-03-19,bebes,35
2017-03-26,bebes,36
2017-04-02,bebes,38
2017-04-09,bebes,34
2017-04-16,bebes,38
2017-04-23,bebes,35
2017-04-30,bebes,36
2017-05-07,bebes,38
2017-05-14,bebes,36
2017-05-21,bebes,37
2017-05-28,bebes,38
2017-06-04,bebes,34
2017-06-11,bebes,35
2017-06-18,bebes,36
2017-06-25,bebes,37
2017-07-02,bebes,37
2017-07-09,bebes,37
2017-07-16,bebes,37
2017-07-23,bebes,36
2017-07-30,bebes,35
2017-08-06,bebes,39
