date,keyword,interest
2016-12-04,ecommerce,0
2016-12-11,ecommerce,0
2016-12-18,ecommerce,0
2016-12-25,ecommerce,0
2017-01-01,ecommerce,0
2017-01-08,ecommerce,0
2017-01-15,ecommerce,0
2017-01-22,ecommerce,0
2017-01-29,ecommerce,0
2017-02-05,ecommerce,0
2017-02-12,ecommerce,0
2017-02-19,ecommerce,0
2017-02-26,ecommerce,0
2017-03-05,ecommerce,0
2017-03-12,ecommerce,0
2017-03-19,ecommerce,0
2017-03-26,ecommerce,0
2017-04-02,ecommerce,0
2017-04-09,ecommerce,0
2017-04-16,ecommerce,0
2017-04-23,ecommerce,0
2017-04-30,ecommerce,0
2017-05-07,ecommerce,0
2017-05-14,ecommerce,0
2017-05-21,ecommerce,0
2017-05-28,ecommerce,0
2017-06-04,ecommerce,0
2017-06-11,ecommerce,0
2017-06-18,ecommerce,0
2017-06-25,ecommerce,0
2017-07-02,ecommerce,0
2017-07-09,ecommerce,0
2017-07-16,ecommerce,0
2017-07-23,ecommerce,0
2017-07-30,ecommerce,0
2017-08-06,ecommerce,0
2017-08-13,ecommerce,0
2017-08-20,ecommerce,0
2017-08-27,ecommerce,0
2017-09-03,ecommerce,0
2017-09-10,ecommerce,0
2017-09-17,ecommerce,0
2017-09-24,ecommerce,0
2017-10-01,ecommerce,0
2017-10-08,ecommerce,0
2017-10-15,ecommerce,0
2017-10-22,ecommerce,0
2017-10-29,ecommerce,0
2017-11-05,ecommerce,0
2017-11-12,ecommerce,0
2017-11-19,ecommerce,0
2017-11-26,ecommerce,0
2017-12-03,ecommerce,0
2017-12-10,ecommerce,0
2017-12-17,ecommerce,0
2017-12-24,ecommerce,0
2017-12-31,ecommerce,0
2018-01-07,ecommerce,0
2018-01-14,ecommerce,0
2018-01-21,ecommerce,0
2018-01-28,ecommerce,0
2018-02-04,ecommerce,0
2018-02-11,ecommerce,0
2018-02-18,ecommerce,0
2018-02-25,ecommerce,0
2018-03-04,ecommerce,0
2018-03-11,ecommerce,0
2018-03-18,ecommerce,0
2018-03-25,ecommerce,0
2018-04-01,ecommerce,0
2018-04-08,ecommerce,0
2018-04-15,ecommerce,0
2018-04-22,ecommerce,0
2018-04-29,ecommerce,0
2018-05-06,ecommerce,0
2018-05-13,ecommerce,0
2018-05-20,ecommerce,0
2018-05-27,ecommerce,0
2018-06-03,ecommerce,0
2018-06-10,ecommerce,0
2018-06-17,ecommerce,0
2018-06-24,ecommerce,0
2018-07-01,ecommerce,0
2018-07-08,ecommerce,0
2018-07-15,ecommerce,0
2018-07-22,ecommerce,0
2018-07-29,ecommerce,0
2018-08-05,ecommerce,0
2018-08-12,ecommerce,1
2018-08-19,ecommerce,0
2018-08-26,ecommerce,0
2018-09-02,ecommerce,0
2018-09-09,ecommerce,0
2018-09-16,ecommerce,0
2018-09-23,ecommerce,0
2018-09-30,ecommerce,0
2018-10-07,ecommerce,0
2018-10-14,ecommerce,0
2018-10-21,ecommerce,0
2018-10-28,ecommerce,0
2018-11-04,ecommerce,0
2018-11-11,ecommerce,0
2018-11-18,ecommerce,0
2018-11-25,ecommerce,0
2018-12-02,ecommerce,0
2018-12-09,ecommerce,0
2018-12-16,ecommerce,0
2018-12-23,ecommerce,0
2018-12-30,ecommerce,0
2015-12-27,mercado livre,63
2016-01-03,mercado livre,56
2016-01-10,mercado livre,58
2016-01-17,mercado livre,60
2016-01-24,mercado livre,56
2016-01-31,mercado livre,55
